100026, 77
100027, 133
100028, 59
100029, 153
100030, 2517
100031, 204
100032, 1085
100033, 76
100034, 25
100035, 565
100036, 73
100037, 77
100040, 107
100045, 126
100046, 312
100047, 557
100070, 4395
100071, 222
100072, 46
100073, 104
100075, 376
100077, 228
100139, 3913
100173, 622
1001930, 29588
1001931, 29162
100281, 209787
100282, 224396
100322, 494
100323, 495
100330, 1491
100331, 709
100336, 50480
100339, 12380
100340, 13373
100342, 8441
100343, 10412
100344, 13965
100345, 4274
100349, 20288
100388, 158865
100423, 728
100471, 14181
100478, 10155
1004824, 39395
1004825, 793
1004826, 1540
1004827, 9952
100500, 648
100506, 50243
100507, 38276
1005266, 4554
1005267, 4337
1005268, 6079
1005269, 2959
1005270, 4709
1005271, 6024
1005272, 3784
1005273, 4623
1005275, 5933
1005276, 7970
1005277, 6475
1005278, 6867
1005279, 4630
1005280, 4717
1005281, 5631
1005282, 3841
1005283, 4571
1005284, 5251
1005285, 669
1005286, 4150
1005287, 4822
1005288, 5580
1005289, 6503
1005290, 6563
1005291, 8933
1005292, 6695
100638, 186
100639, 1934
100640, 6335
100641, 2191
100642, 8832
100643, 122
100645, 2245
100646, 11779
100682, 1503
100728, 2
1007405, 11536
1007406, 11599
100815, 3541
100827, 21
100831, 54423
100887, 8819
100894, 10897
1009280, 2630
101085, 590
101089, 17137
101168, 13748
101170, 33
101187, 61
101213, 17672
101214, 783
1012236, 70207
101249, 196
101250, 154
1013015, 57409
101330, 118130
101331, 23895
101332, 146511
101333, 33001
101337, 26856
101338, 25226
101339, 61710
101340, 51072
101341, 10027
101342, 27461
1015402, 5291
101548, 4098
101550, 1134
101556, 1827
101558, 26
101560, 155
101582, 237584
1015841, 180995
1015842, 260783
1016001, 444463
1016024, 453945
101619, 44282
101620, 42904
101632, 446607
101633, 408350
101634, 196774
101635, 107903
101636, 17853
101647, 1871
101648, 15774
1016856, 432
1016874, 432
1017010, 2095
1017015, 10176
1018273, 73
1018274, 98
1018275, 74
1018276, 2179
1018278, 863
1018279, 1689
1018295, 80
101864, 21250
101865, 37751
101881, 103000
101902, 15114
101951, 32
101952, 602
101953, 227
101956, 590
101974, 144357
102028, 13718
102037, 13443
102038, 14077
102041, 5
1020669, 157
102066, 1131
102068, 227298
1021166, 30134
1021167, 3297
102248, 534
102249, 5238
102250, 21666
102255, 26837
102257, 37287
102294, 3310
102295, 13407
102296, 32717
102308, 1044
102309, 498
102485, 4967
102625, 4713
102626, 9615
102793, 1002
102794, 1009
103042, 79381
103044, 64730
103081, 54
103082, 453
103085, 310
103086, 433
103087, 143
103141, 27384
103142, 6680
103143, 353
103144, 190
103145, 328
103146, 4910
103148, 68334
103194, 24602
103196, 863
103197, 14097
103207, 266
103211, 212
103212, 92
